Date,Climb,Hold #,Start?,Top?,Strength,s1,s2,s3,Up Strength,Right Strength,Down Strength,Left Strength,x,y,z
10/2/25,IR-YL-V0,1,FALSE,FALSE,7.33,8,9,5,7.33,6,5,6,,,
10/2/25,IR-YL-V0,2,FALSE,FALSE,6.33,7,7,5,6.33,6,5,6,,,
10/2/25,IR-YL-V0,3,FALSE,FALSE,6.33,6,7,6,6.33,5,6,6,,,
10/2/25,IR-YL-V0,4,FALSE,FALSE,7.33,8,9,5,7.33,5,5,5,,,
10/2/25,IR-YL-V0,5,TRUE,FALSE,8.67,9,9,8,8.67,8,4,5,,,
10/2/25,IR-YL-V0,6,FALSE,FALSE,9.33,9,10,9,9.33,6,5,6,,,
10/2/25,IR-YL-V0,7,FALSE,FALSE,8.67,9,9,8,8.67,5,4,5,,,
10/2/25,IR-YL-V0,8,FALSE,FALSE,7.67,8,8,7,7.67,7,4,4,,,
10/2/25,IR-YL-V0,9,FALSE,FALSE,8.67,9,9,8,8.67,8,4,4,,,
10/2/25,IR-YL-V0,10,FALSE,FALSE,6.33,7,6,6,6.33,4,4,6,,,
10/2/25,IR-YL-V0,11,FALSE,FALSE,8.67,9,9,8,8.67,4,3,4,,,
10/2/25,IR-YL-V0,12,FALSE,FALSE,7.33,7,7,8,7.33,3,5,3,,,
10/2/25,IR-YL-V0,13,FALSE,FALSE,6.00,6,5,7,6.00,3,5,3,,,
10/2/25,IR-YL-V0,14,FALSE,FALSE,7.33,7,7,8,7.33,3,5,3,,,
10/2/25,IR-YL-V0,15,FALSE,FALSE,8.33,8,9,8,8.33,8,3,4,,,
10/2/25,FR-GR-V0,1,FALSE,FALSE,6.00,6,7,5,6.00,5,6,5,,,
10/2/25,FR-GR-V0,2,FALSE,FALSE,5.67,6,5,6,5.67,4,5,4,,,
10/2/25,FR-GR-V0,3,FALSE,FALSE,6.33,8,5,6,6.33,4,4,4,,,
10/2/25,FR-GR-V0,4,FALSE,FALSE,4.33,5,4,4,4.33,3,2,3,,,
10/2/25,FR-GR-V0,5,FALSE,FALSE,6.67,7,7,6,6.67,3,3,3,,,
10/2/25,FR-GR-V0,6,FALSE,FALSE,6.67,7,7,6,6.67,3,3,3,,,
10/2/25,FR-GR-V0,7,TRUE,FALSE,9.00,9,9,9,9.00,3,2,3,,,
10/2/25,FR-GR-V0,8,FALSE,FALSE,4.67,6,5,3,4.67,4,4,4,,,
